,Date,HomeTeam,AwayTeam,O2.5,U2.5,HomeTeamWinOdds,AwayTeamWinOdds,DrawOdds
0,2023-10-20,Borussia Dortmund,Werder Bremen,1.33,3.25,1.33,7.5,5.8
1,2023-10-21,VfL Wolfsburg,Bayer Leverkusen,1.5,2.5,4.0,1.75,4.2
2,2023-10-21,TSG Hoffenheim,Eintracht Frankfurt,1.67,2.1,2.05,3.2,3.8
3,2023-10-21,SV Darmstadt 98,RB Leipzig,1.44,2.62,6.5,1.44,5.0
4,2023-10-21,SC Freiburg,VfL Bochum,1.67,2.1,1.7,4.6,4.0
5,2023-10-21,Union Berlin,VfB Stuttgart,1.7,2.05,2.4,2.75,3.6
6,2023-10-21,FSV Mainz 05,Bayern Munich,1.29,3.5,9.5,1.25,6.5
7,2023-10-22,FC Koln,Borussia Monchengladbach,1.57,2.3,2.3,2.8,3.75
8,2023-10-22,FC Heidenheim,Augsburg,1.62,2.2,2.3,2.8,3.7
9,2023-10-27,VfL Bochum,FSV Mainz 05,1.67,2.1,2.3,2.88,3.6
10,2023-10-28,Augsburg,VfL Wolfsburg,1.7,2.05,3.1,2.15,3.7
11,2023-10-28,Bayern Munich,SV Darmstadt 98,1.2,4.33,1.07,23.0,12.0
12,2023-10-28,Borussia Monchengladbach,FC Heidenheim,1.5,2.5,1.91,3.6,4.0
13,2023-10-28,VfB Stuttgart,TSG Hoffenheim,1.5,2.5,1.75,4.0,4.2
14,2023-10-28,Werder Bremen,Union Berlin,1.8,1.91,2.6,2.6,3.5
15,2023-10-28,RB Leipzig,FC Koln,1.5,2.5,1.33,8.0,5.5
16,2023-10-29,Eintracht Frankfurt,Borussia Dortmund,1.53,2.38,2.88,2.25,3.8
17,2023-10-29,Bayer Leverkusen,SC Freiburg,1.5,2.5,1.33,8.5,5.5
