,GameID,Date,Team,Opponent,TeamGoals,OpponentGoals,Result,TeamShots,OpponentShots,TeamShotsonTarget,OpponentShotsonTarget,TeamFouls,OpponentFouls,TeamCorners,OpponentCorners,TeamYellowCards,OpponentYellowCards,TeamRedCards,OpponentRedCards,O2.5,U2.5,TeamWinOdds,DrawOdds,OpponentWinOdds,Venue,TeamELO,OpponentELO,ELODif
0,0,2000-08-11,Dortmund,Rostock,1,0,W,17.0,5.0,7.0,2.0,25.0,19.0,7.0,3.0,1.0,5.0,0.0,0.0,,,,,,Home,1647.63037109,1633.12475586,14.505615229999876
1,0,2000-08-11,Rostock,Dortmund,0,1,L,5.0,17.0,2.0,7.0,19.0,25.0,3.0,7.0,5.0,1.0,0.0,0.0,,,,,,Away,1633.12475586,1647.63037109,-14.505615229999876
2,1,2000-08-12,Hertha,Bayern,1,4,L,11.0,14.0,5.0,6.0,12.0,13.0,9.0,4.0,0.0,1.0,0.0,0.0,,,,,,Away,1664.67956543,1868.67663574,-203.99707031000003
3,1,2000-08-12,Bayern,Hertha,4,1,W,14.0,11.0,6.0,5.0,13.0,12.0,4.0,9.0,1.0,0.0,0.0,0.0,,,,,,Home,1868.67663574,1664.67956543,203.99707031000003
4,2,2000-08-12,Freiburg,Stuttgart,4,0,W,15.0,18.0,7.0,5.0,22.0,17.0,4.0,7.0,1.0,1.0,0.0,0.0,,,,,,Home,1619.54089355,1652.04711914,-32.506225589999985
5,2,2000-08-12,Stuttgart,Freiburg,0,4,L,18.0,15.0,5.0,7.0,17.0,22.0,7.0,4.0,1.0,1.0,0.0,0.0,,,,,,Away,1652.04711914,1619.54089355,32.506225589999985
6,4,2000-08-12,Lautern,Bochum,0,1,L,11.0,5.0,2.0,2.0,9.0,8.0,5.0,5.0,1.0,0.0,0.0,0.0,,,,,,Home,1671.24353027,1588.76574707,82.47778319999998
7,4,2000-08-12,Bochum,Lautern,1,0,W,5.0,11.0,2.0,2.0,8.0,9.0,5.0,5.0,0.0,1.0,0.0,0.0,,,,,,Away,1588.76574707,1671.24353027,-82.47778319999998
8,5,2000-08-12,Wolfsburg,Leverkusen,0,2,L,5.0,18.0,5.0,5.0,22.0,25.0,4.0,6.0,2.0,0.0,0.0,0.0,,,,,,Away,1669.0201416,1823.88769531,-154.86755371000004
9,5,2000-08-12,Leverkusen,Wolfsburg,2,0,W,18.0,5.0,5.0,5.0,25.0,22.0,6.0,4.0,0.0,2.0,0.0,0.0,,,,,,Home,1823.88769531,1669.0201416,154.86755371000004
10,6,2000-08-12,Cottbus,Werder,1,3,L,3.0,12.0,3.0,2.0,6.0,9.0,2.0,3.0,3.0,3.0,0.0,0.0,,,,,,Away,1548.78808594,1684.20117188,-135.41308593999997
11,6,2000-08-12,Werder,Cottbus,3,1,W,12.0,3.0,2.0,3.0,9.0,6.0,3.0,2.0,3.0,3.0,0.0,0.0,,,,,,Home,1684.20117188,1548.78808594,135.41308593999997
12,7,2000-08-13,Koeln,Schalke,1,2,L,10.0,16.0,3.0,6.0,26.0,15.0,5.0,6.0,3.0,2.0,0.0,0.0,,,,,,Away,1582.41821289,1627.65307617,-45.23486328000013
13,7,2000-08-13,Schalke,Koeln,2,1,W,16.0,10.0,6.0,3.0,15.0,26.0,6.0,5.0,2.0,3.0,0.0,0.0,,,,,,Home,1627.65307617,1582.41821289,45.23486328000013
14,8,2000-08-13,Unterhaching,Frankfurt,0,3,L,15.0,7.0,3.0,5.0,19.0,15.0,6.0,7.0,1.0,1.0,0.0,0.0,,,,,,Away,1624.96337891,1644.50476074,-19.541381829999864
15,8,2000-08-13,Frankfurt,Unterhaching,3,0,W,7.0,15.0,5.0,3.0,15.0,19.0,7.0,6.0,1.0,1.0,0.0,0.0,,,,,,Home,1644.50476074,1624.96337891,19.541381829999864
16,9,2000-08-18,Dortmund,Cottbus,4,1,W,10.0,11.0,5.0,3.0,20.0,25.0,4.0,8.0,2.0,2.0,0.0,0.0,,,,,,Away,1653.11083984,1544.59680176,108.51403807999986
