,league,team,overall,attack,midfield,defence,transfer_budget,players,fifa_edition,update
0,GER-Bundesliga,FC Bayern München,84,90,84,83,€0,28,FIFA 07,"Aug 30, 2006"
1,GER-Bundesliga,Borussia Dortmund,81,81,81,81,€0,28,FIFA 07,"Aug 30, 2006"
2,GER-Bundesliga,Bayer 04 Leverkusen,80,81,81,79,€0,28,FIFA 07,"Aug 30, 2006"
3,GER-Bundesliga,RB Leipzig,80,80,80,79,€0,27,FIFA 07,"Aug 30, 2006"
4,GER-Bundesliga,FC Union Berlin,77,74,75,77,€0,28,FIFA 07,"Aug 30, 2006"
5,GER-Bundesliga,VfL Wolfsburg,77,76,78,75,€0,31,FIFA 07,"Aug 30, 2006"
6,GER-Bundesliga,Borussia Mönchengladbach,76,74,76,75,€0,33,FIFA 07,"Aug 30, 2006"
7,GER-Bundesliga,SC Freiburg,76,76,76,77,€0,25,FIFA 07,"Aug 30, 2006"
8,GER-Bundesliga,Eintracht Frankfurt,76,76,74,76,€0,33,FIFA 07,"Aug 30, 2006"
9,GER-Bundesliga,TSG Hoffenheim,76,75,77,75,€0,32,FIFA 07,"Aug 30, 2006"
10,GER-Bundesliga,FSV Mainz 05,75,77,75,74,€0,29,FIFA 07,"Aug 30, 2006"
11,GER-Bundesliga,FC Köln,74,73,74,73,€0,33,FIFA 07,"Aug 30, 2006"
12,GER-Bundesliga,VfB Stuttgart,74,77,73,73,€0,32,FIFA 07,"Aug 30, 2006"
13,GER-Bundesliga,Werder Bremen,74,75,74,74,€0,27,FIFA 07,"Aug 30, 2006"
14,GER-Bundesliga,FC Augsburg,74,72,74,74,€0,32,FIFA 07,"Aug 30, 2006"
15,GER-Bundesliga,VfL Bochum 1848,73,74,73,72,€0,30,FIFA 07,"Aug 30, 2006"
16,GER-Bundesliga,Heidenheim,71,72,70,71,€0,29,FIFA 07,"Aug 30, 2006"
17,GER-Bundesliga,Darmstadt 98,71,70,71,71,€0,30,FIFA 07,"Aug 30, 2006"
18,GER-Bundesliga,FC Bayern München,84,90,84,83,€0,28,FIFA 07,"Feb 22, 2007"
19,GER-Bundesliga,Borussia Dortmund,81,81,81,81,€0,28,FIFA 07,"Feb 22, 2007"
20,GER-Bundesliga,Bayer 04 Leverkusen,80,81,81,79,€0,28,FIFA 07,"Feb 22, 2007"
21,GER-Bundesliga,RB Leipzig,80,80,80,79,€0,27,FIFA 07,"Feb 22, 2007"
22,GER-Bundesliga,FC Union Berlin,77,74,75,77,€0,28,FIFA 07,"Feb 22, 2007"
23,GER-Bundesliga,VfL Wolfsburg,77,76,78,75,€0,31,FIFA 07,"Feb 22, 2007"
24,GER-Bundesliga,Borussia Mönchengladbach,76,74,76,75,€0,33,FIFA 07,"Feb 22, 2007"
25,GER-Bundesliga,SC Freiburg,76,76,76,77,€0,25,FIFA 07,"Feb 22, 2007"
26,GER-Bundesliga,Eintracht Frankfurt,76,76,74,76,€0,33,FIFA 07,"Feb 22, 2007"
27,GER-Bundesliga,TSG Hoffenheim,76,75,77,75,€0,32,FIFA 07,"Feb 22, 2007"
28,GER-Bundesliga,FSV Mainz 05,75,77,75,74,€0,29,FIFA 07,"Feb 22, 2007"
29,GER-Bundesliga,FC Köln,74,73,74,73,€0,33,FIFA 07,"Feb 22, 2007"
30,GER-Bundesliga,VfB Stuttgart,74,77,73,73,€0,32,FIFA 07,"Feb 22, 2007"
31,GER-Bundesliga,Werder Bremen,74,75,74,74,€0,27,FIFA 07,"Feb 22, 2007"
32,GER-Bundesliga,FC Augsburg,74,72,74,74,€0,32,FIFA 07,"Feb 22, 2007"
33,GER-Bundesliga,VfL Bochum 1848,73,74,73,72,€0,30,FIFA 07,"Feb 22, 2007"
34,GER-Bundesliga,Heidenheim,71,72,70,71,€0,29,FIFA 07,"Feb 22, 2007"
35,GER-Bundesliga,Darmstadt 98,71,70,71,71,€0,30,FIFA 07,"Feb 22, 2007"
36,GER-Bundesliga,FC Bayern München,84,90,84,83,€0,28,FIFA 08,"Aug 30, 2007"
37,GER-Bundesliga,Borussia Dortmund,81,81,81,81,€0,28,FIFA 08,"Aug 30, 2007"
38,GER-Bundesliga,Bayer 04 Leverkusen,80,81,81,79,€0,28,FIFA 08,"Aug 30, 2007"
39,GER-Bundesliga,RB Leipzig,80,80,80,79,€0,27,FIFA 08,"Aug 30, 2007"
40,GER-Bundesliga,FC Union Berlin,77,74,75,77,€0,28,FIFA 08,"Aug 30, 2007"
41,GER-Bundesliga,VfL Wolfsburg,77,76,78,75,€0,31,FIFA 08,"Aug 30, 2007"
42,GER-Bundesliga,Borussia Mönchengladbach,76,74,76,75,€0,33,FIFA 08,"Aug 30, 2007"
43,GER-Bundesliga,SC Freiburg,76,76,76,77,€0,25,FIFA 08,"Aug 30, 2007"
44,GER-Bundesliga,Eintracht Frankfurt,76,76,74,76,€0,33,FIFA 08,"Aug 30, 2007"
45,GER-Bundesliga,TSG Hoffenheim,76,75,77,75,€0,32,FIFA 08,"Aug 30, 2007"
46,GER-Bundesliga,FSV Mainz 05,75,77,75,74,€0,29,FIFA 08,"Aug 30, 2007"
47,GER-Bundesliga,FC Köln,74,73,74,73,€0,33,FIFA 08,"Aug 30, 2007"
48,GER-Bundesliga,VfB Stuttgart,74,77,73,73,€0,32,FIFA 08,"Aug 30, 2007"
49,GER-Bundesliga,Werder Bremen,74,75,74,74,€0,27,FIFA 08,"Aug 30, 2007"
50,GER-Bundesliga,FC Augsburg,74,72,74,74,€0,32,FIFA 08,"Aug 30, 2007"
51,GER-Bundesliga,VfL Bochum 1848,73,74,73,72,€0,30,FIFA 08,"Aug 30, 2007"
52,GER-Bundesliga,Heidenheim,71,72,70,71,€0,29,FIFA 08,"Aug 30, 2007"
53,GER-Bundesliga,Darmstadt 98,71,70,71,71,€0,30,FIFA 08,"Aug 30, 2007"
54,GER-Bundesliga,FC Bayern München,84,90,84,83,€0,28,FIFA 08,"Feb 22, 2008"
55,GER-Bundesliga,Borussia Dortmund,81,81,81,81,€0,28,FIFA 08,"Feb 22, 2008"
56,GER-Bundesliga,Bayer 04 Leverkusen,80,81,81,79,€0,28,FIFA 08,"Feb 22, 2008"
57,GER-Bundesliga,RB Leipzig,80,80,80,79,€0,27,FIFA 08,"Feb 22, 2008"
58,GER-Bundesliga,FC Union Berlin,77,74,75,77,€0,28,FIFA 08,"Feb 22, 2008"
59,GER-Bundesliga,VfL Wolfsburg,77,76,78,75,€0,31,FIFA 08,"Feb 22, 2008"
60,GER-Bundesliga,Borussia Mönchengladbach,76,74,76,75,€0,33,FIFA 08,"Feb 22, 2008"
61,GER-Bundesliga,SC Freiburg,76,76,76,77,€0,25,FIFA 08,"Feb 22, 2008"
62,GER-Bundesliga,Eintracht Frankfurt,76,76,74,76,€0,33,FIFA 08,"Feb 22, 2008"
63,GER-Bundesliga,TSG Hoffenheim,76,75,77,75,€0,32,FIFA 08,"Feb 22, 2008"
64,GER-Bundesliga,FSV Mainz 05,75,77,75,74,€0,29,FIFA 08,"Feb 22, 2008"
65,GER-Bundesliga,FC Köln,74,73,74,73,€0,33,FIFA 08,"Feb 22, 2008"
66,GER-Bundesliga,VfB Stuttgart,74,77,73,73,€0,32,FIFA 08,"Feb 22, 2008"
67,GER-Bundesliga,Werder Bremen,74,75,74,74,€0,27,FIFA 08,"Feb 22, 2008"
68,GER-Bundesliga,FC Augsburg,74,72,74,74,€0,32,FIFA 08,"Feb 22, 2008"
69,GER-Bundesliga,VfL Bochum 1848,73,74,73,72,€0,30,FIFA 08,"Feb 22, 2008"
70,GER-Bundesliga,Heidenheim,71,72,70,71,€0,29,FIFA 08,"Feb 22, 2008"
71,GER-Bundesliga,Darmstadt 98,71,70,71,71,€0,30,FIFA 08,"Feb 22, 2008"
72,GER-Bundesliga,FC Bayern München,84,90,84,83,€0,28,FIFA 09,"Aug 30, 2008"
73,GER-Bundesliga,Borussia Dortmund,81,81,81,81,€0,28,FIFA 09,"Aug 30, 2008"
74,GER-Bundesliga,Bayer 04 Leverkusen,80,81,81,79,€0,28,FIFA 09,"Aug 30, 2008"
75,GER-Bundesliga,RB Leipzig,80,80,80,79,€0,27,FIFA 09,"Aug 30, 2008"
76,GER-Bundesliga,FC Union Berlin,77,74,75,77,€0,28,FIFA 09,"Aug 30, 2008"
77,GER-Bundesliga,VfL Wolfsburg,77,76,78,75,€0,31,FIFA 09,"Aug 30, 2008"
78,GER-Bundesliga,Borussia Mönchengladbach,76,74,76,75,€0,33,FIFA 09,"Aug 30, 2008"
79,GER-Bundesliga,SC Freiburg,76,76,76,77,€0,25,FIFA 09,"Aug 30, 2008"
80,GER-Bundesliga,Eintracht Frankfurt,76,76,74,76,€0,33,FIFA 09,"Aug 30, 2008"
81,GER-Bundesliga,TSG Hoffenheim,76,75,77,75,€0,32,FIFA 09,"Aug 30, 2008"
82,GER-Bundesliga,FSV Mainz 05,75,77,75,74,€0,29,FIFA 09,"Aug 30, 2008"
83,GER-Bundesliga,FC Köln,74,73,74,73,€0,33,FIFA 09,"Aug 30, 2008"
84,GER-Bundesliga,VfB Stuttgart,74,77,73,73,€0,32,FIFA 09,"Aug 30, 2008"
85,GER-Bundesliga,Werder Bremen,74,75,74,74,€0,27,FIFA 09,"Aug 30, 2008"
86,GER-Bundesliga,FC Augsburg,74,72,74,74,€0,32,FIFA 09,"Aug 30, 2008"
87,GER-Bundesliga,VfL Bochum 1848,73,74,73,72,€0,30,FIFA 09,"Aug 30, 2008"
88,GER-Bundesliga,Heidenheim,71,72,70,71,€0,29,FIFA 09,"Aug 30, 2008"
89,GER-Bundesliga,Darmstadt 98,71,70,71,71,€0,30,FIFA 09,"Aug 30, 2008"
90,GER-Bundesliga,FC Bayern München,84,90,84,83,€0,28,FIFA 09,"Feb 22, 2009"
91,GER-Bundesliga,Borussia Dortmund,81,81,81,81,€0,28,FIFA 09,"Feb 22, 2009"
92,GER-Bundesliga,Bayer 04 Leverkusen,80,81,81,79,€0,28,FIFA 09,"Feb 22, 2009"
93,GER-Bundesliga,RB Leipzig,80,80,80,79,€0,27,FIFA 09,"Feb 22, 2009"
94,GER-Bundesliga,FC Union Berlin,77,74,75,77,€0,28,FIFA 09,"Feb 22, 2009"
95,GER-Bundesliga,VfL Wolfsburg,77,76,78,75,€0,31,FIFA 09,"Feb 22, 2009"
96,GER-Bundesliga,Borussia Mönchengladbach,76,74,76,75,€0,33,FIFA 09,"Feb 22, 2009"
97,GER-Bundesliga,SC Freiburg,76,76,76,77,€0,25,FIFA 09,"Feb 22, 2009"
98,GER-Bundesliga,Eintracht Frankfurt,76,76,74,76,€0,33,FIFA 09,"Feb 22, 2009"
99,GER-Bundesliga,TSG Hoffenheim,76,75,77,75,€0,32,FIFA 09,"Feb 22, 2009"
100,GER-Bundesliga,FSV Mainz 05,75,77,75,74,€0,29,FIFA 09,"Feb 22, 2009"
101,GER-Bundesliga,FC Köln,74,73,74,73,€0,33,FIFA 09,"Feb 22, 2009"
102,GER-Bundesliga,VfB Stuttgart,74,77,73,73,€0,32,FIFA 09,"Feb 22, 2009"
103,GER-Bundesliga,Werder Bremen,74,75,74,74,€0,27,FIFA 09,"Feb 22, 2009"
104,GER-Bundesliga,FC Augsburg,74,72,74,74,€0,32,FIFA 09,"Feb 22, 2009"
105,GER-Bundesliga,VfL Bochum 1848,73,74,73,72,€0,30,FIFA 09,"Feb 22, 2009"
106,GER-Bundesliga,Heidenheim,71,72,70,71,€0,29,FIFA 09,"Feb 22, 2009"
107,GER-Bundesliga,Darmstadt 98,71,70,71,71,€0,30,FIFA 09,"Feb 22, 2009"
108,GER-Bundesliga,FC Bayern München,81,80,80,74,€80M,27,FIFA 10,"Aug 30, 2009"
109,GER-Bundesliga,Hamburger SV,78,72,71,70,€20M,32,FIFA 10,"Aug 30, 2009"
110,GER-Bundesliga,Werder Bremen,78,74,71,72,€30M,31,FIFA 10,"Aug 30, 2009"
111,GER-Bundesliga,VfL Wolfsburg,78,71,72,68,€40M,34,FIFA 10,"Aug 30, 2009"
112,GER-Bundesliga,Bayer 04 Leverkusen,77,75,74,73,€10M,26,FIFA 10,"Aug 30, 2009"
113,GER-Bundesliga,Schalke 04,77,73,70,74,€8.5M,30,FIFA 10,"Aug 30, 2009"
114,GER-Bundesliga,VfB Stuttgart,77,73,73,75,€28M,31,FIFA 10,"Aug 30, 2009"
115,GER-Bundesliga,Borussia Dortmund,76,70,72,70,€12M,31,FIFA 10,"Aug 30, 2009"
116,GER-Bundesliga,TSG Hoffenheim,76,75,72,71,€20M,28,FIFA 10,"Aug 30, 2009"
117,GER-Bundesliga,Eintracht Frankfurt,74,68,72,71,€7.5M,30,FIFA 10,"Aug 30, 2009"
118,GER-Bundesliga,Hertha BSC,74,74,68,68,€7.5M,29,FIFA 10,"Aug 30, 2009"
119,GER-Bundesliga,Hannover 96,74,69,70,67,€5M,31,FIFA 10,"Aug 30, 2009"
120,GER-Bundesliga,Borussia Mönchengladbach,73,74,69,68,€6.5M,31,FIFA 10,"Aug 30, 2009"
121,GER-Bundesliga,FC Köln,73,68,65,69,€11M,30,FIFA 10,"Aug 30, 2009"
122,GER-Bundesliga,VfL Bochum 1848,72,72,70,69,€3M,25,FIFA 10,"Aug 30, 2009"
