,GameID,Date,Team,Opponent,TeamGoals,OpponentGoals,Result,TeamShots,OpponentShots,TeamShotsonTarget,OpponentShotsonTarget,TeamFouls,OpponentFouls,TeamCorners,OpponentCorners,TeamYellowCards,OpponentYellowCards,TeamRedCards,OpponentRedCards,O2.5,U2.5,TeamWinOdds,DrawOdds,OpponentWinOdds,Venue
0,0,2000-08-11,Dortmund,Rostock,1,0,W,17.0,5.0,7.0,2.0,25.0,19.0,7.0,3.0,1.0,5.0,0.0,0.0,,,,,,Home
1,0,2000-08-11,Rostock,Dortmund,0,1,L,5.0,17.0,2.0,7.0,19.0,25.0,3.0,7.0,5.0,1.0,0.0,0.0,,,,,,Away
2,1,2000-08-12,Hertha,Bayern,1,4,L,11.0,14.0,5.0,6.0,12.0,13.0,9.0,4.0,0.0,1.0,0.0,0.0,,,,,,Away
3,1,2000-08-12,Bayern,Hertha,4,1,W,14.0,11.0,6.0,5.0,13.0,12.0,4.0,9.0,1.0,0.0,0.0,0.0,,,,,,Home
4,2,2000-08-12,Freiburg,Stuttgart,4,0,W,15.0,18.0,7.0,5.0,22.0,17.0,4.0,7.0,1.0,1.0,0.0,0.0,,,,,,Home
5,2,2000-08-12,Stuttgart,Freiburg,0,4,L,18.0,15.0,5.0,7.0,17.0,22.0,7.0,4.0,1.0,1.0,0.0,0.0,,,,,,Away
6,3,2000-08-12,Hamburg,Munich 1860,2,2,D,18.0,9.0,5.0,7.0,0.0,0.0,5.0,3.0,2.0,2.0,0.0,1.0,,,,,,Home
7,3,2000-08-12,Munich 1860,Hamburg,2,2,D,9.0,18.0,7.0,5.0,0.0,0.0,3.0,5.0,2.0,2.0,1.0,0.0,,,,,,Away
8,4,2000-08-12,Lautern,Bochum,0,1,L,11.0,5.0,2.0,2.0,9.0,8.0,5.0,5.0,1.0,0.0,0.0,0.0,,,,,,Home
9,4,2000-08-12,Bochum,Lautern,1,0,W,5.0,11.0,2.0,2.0,8.0,9.0,5.0,5.0,0.0,1.0,0.0,0.0,,,,,,Away
10,5,2000-08-12,Wolfsburg,Leverkusen,0,2,L,5.0,18.0,5.0,5.0,22.0,25.0,4.0,6.0,2.0,0.0,0.0,0.0,,,,,,Away
11,5,2000-08-12,Leverkusen,Wolfsburg,2,0,W,18.0,5.0,5.0,5.0,25.0,22.0,6.0,4.0,0.0,2.0,0.0,0.0,,,,,,Home
