,week,day,Date,time,HomeTeam,home_xg,score,away_xg,AwayTeam,attendance,venue,Referee,match_report,notes,game_id,BbAv>2.5,BbAv<2.5,BbAvH,BbAvD,BbAvA,Venue
0,1,Fri,2023-08-18,20:30,Werder Bremen,0.6,0–4,2.8,Bayern Munich,42100,Wohninvest Weserstadion,Felix Zwayer,/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga,,97218e9f,,,,,,Home
1,1,Sat,2023-08-19,15:30,Augsburg,2.3,4–4,1.7,M'Gladbach,30660,WWK Arena,Daniel Schlager,/en/matches/aac55b7f/Augsburg-Monchengladbach-August-19-2023-Bundesliga,,aac55b7f,,,,,,Home
2,1,Sat,2023-08-19,18:30,Dortmund,1.8,1–0,1.2,Köln,81365,Signal Iduna Park,Deniz Aytekin,/en/matches/c05c14ef/Dortmund-Koln-August-19-2023-Bundesliga,,c05c14ef,,,,,,Home
3,1,Sat,2023-08-19,15:30,Hoffenheim,1.4,1–2,2.6,Freiburg,25890,PreZero Arena,Sven Jablonski,/en/matches/d1a443e5/Hoffenheim-Freiburg-August-19-2023-Bundesliga,,d1a443e5,,,,,,Home
4,1,Sat,2023-08-19,15:30,Leverkusen,1.4,3–2,1.6,RB Leipzig,29464,BayArena,Felix Brych,/en/matches/063d7b6b/Bayer-Leverkusen-RB-Leipzig-August-19-2023-Bundesliga,,063d7b6b,,,,,,Home
5,1,Sat,2023-08-19,15:30,Stuttgart,3.0,5–0,0.8,Bochum,53000,MHPArena,Daniel Siebert,/en/matches/8fe3b615/Stuttgart-Bochum-August-19-2023-Bundesliga,,8fe3b615,,,,,,Home
6,1,Sat,2023-08-19,15:30,Wolfsburg,2.2,2–0,1.2,Heidenheim,22620,Volkswagen Arena,Florian Badstübner,/en/matches/3b6337dc/Wolfsburg-Heidenheim-August-19-2023-Bundesliga,,3b6337dc,,,,,,Home
7,1,Sun,2023-08-20,17:30,Eint Frankfurt,1.5,1–0,0.5,Darmstadt 98,54000,Deutsche Bank Park,Harm Osmers,/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga,,60fc3feb,,,,,,Home
8,1,Sun,2023-08-20,15:30,Union Berlin,1.9,4–1,2.3,Mainz 05,22012,Stadion An der Alten Försterei,Tobias Stieler,/en/matches/d6f1201f/Union-Berlin-Mainz-05-August-20-2023-Bundesliga,,d6f1201f,,,,,,Home
9,2,Fri,2023-08-25,20:30,RB Leipzig,1.8,5–1,1.1,Stuttgart,46084,Red Bull Arena,Frank Willenborg,/en/matches/195113d1/RB-Leipzig-Stuttgart-August-25-2023-Bundesliga,,195113d1,,,,,,Home
10,2,Sat,2023-08-26,15:30,Bochum,1.0,1–1,1.3,Dortmund,26000,Vonovia Ruhrstadion,Robert Schröder,/en/matches/02deea82/Bochum-Dortmund-August-26-2023-Bundesliga,,02deea82,,,,,,Home
11,2,Sat,2023-08-26,15:30,Darmstadt 98,2.3,1–4,1.7,Union Berlin,17810,Merck-Stadion am Böllenfalltor,Patrick Ittrich,/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga,,0fb64fd7,,,,,,Home
12,2,Sat,2023-08-26,15:30,Freiburg,2.4,1–0,1.0,Werder Bremen,34700,Europa-Park Stadion,Benjamin Brand,/en/matches/4ffd6c40/Freiburg-Werder-Bremen-August-26-2023-Bundesliga,,4ffd6c40,,,,,,Home
13,2,Sat,2023-08-26,15:30,Heidenheim,2.4,2–3,3.0,Hoffenheim,15000,Voith-Arena,Robert Hartmann,/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga,,95224afe,,,,,,Home
14,2,Sat,2023-08-26,15:30,Köln,0.9,1–2,1.7,Wolfsburg,49500,RheinEnergieSTADION,Matthias Jöllenbeck,/en/matches/6ce17247/Koln-Wolfsburg-August-26-2023-Bundesliga,,6ce17247,,,,,,Home
15,2,Sat,2023-08-26,18:30,M'Gladbach,0.9,0–3,2.7,Leverkusen,54042,Stadion im Borussia-Park,Christian Dingert,/en/matches/3f7b87b9/Monchengladbach-Bayer-Leverkusen-August-26-2023-Bundesliga,,3f7b87b9,,,,,,Home
16,2,Sun,2023-08-27,17:30,Bayern Munich,2.8,3–1,0.7,Augsburg,75000,Allianz Arena,Daniel Siebert,/en/matches/f32bb54f/Bayern-Munich-Augsburg-August-27-2023-Bundesliga,,f32bb54f,,,,,,Home
17,2,Sun,2023-08-27,15:30,Mainz 05,1.2,1–1,1.1,Eint Frankfurt,33305,Mewa Arena,Bastian Dankert,/en/matches/53e372dd/Mainz-05-Eintracht-Frankfurt-August-27-2023-Bundesliga,,53e372dd,,,,,,Home
18,3,Fri,2023-09-01,20:30,Dortmund,3.4,2–2,2.1,Heidenheim,81365,Signal Iduna Park,Tobias Reichel,/en/matches/6533d274/Dortmund-Heidenheim-September-1-2023-Bundesliga,,6533d274,,,,,,Home
19,3,Sat,2023-09-02,15:30,Augsburg,1.9,2–2,1.6,Bochum,27424,WWK Arena,Martin Petersen,/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga,,c8ab18c8,,,,,,Home
20,3,Sat,2023-09-02,15:30,Hoffenheim,2.0,3–1,1.2,Wolfsburg,17500,PreZero Arena,Felix Zwayer,/en/matches/10204eb8/Hoffenheim-Wolfsburg-September-2-2023-Bundesliga,,10204eb8,,,,,,Home
21,3,Sat,2023-09-02,15:30,Leverkusen,2.8,5–1,0.4,Darmstadt 98,29653,BayArena,Sven Jablonski,/en/matches/949b0917/Bayer-Leverkusen-Darmstadt-98-September-2-2023-Bundesliga,,949b0917,,,,,,Home
22,3,Sat,2023-09-02,18:30,M'Gladbach,0.3,1–2,2.4,Bayern Munich,54042,Stadion im Borussia-Park,Deniz Aytekin,/en/matches/ffd6fa2f/Monchengladbach-Bayern-Munich-September-2-2023-Bundesliga,,ffd6fa2f,,,,,,Home
23,3,Sat,2023-09-02,15:30,Stuttgart,1.7,5–0,1.0,Freiburg,54300,MHPArena,Felix Brych,/en/matches/fdd85186/Stuttgart-Freiburg-September-2-2023-Bundesliga,,fdd85186,,,,,,Home
24,3,Sat,2023-09-02,15:30,Werder Bremen,2.7,4–0,0.5,Mainz 05,41000,Wohninvest Weserstadion,Robert Schröder,/en/matches/0f06a162/Werder-Bremen-Mainz-05-September-2-2023-Bundesliga,,0f06a162,,,,,,Home
25,3,Sun,2023-09-03,15:30,Eint Frankfurt,1.1,1–1,0.9,Köln,54000,Deutsche Bank Park,Florian Badstübner,/en/matches/3a3dcb35/Eintracht-Frankfurt-Koln-September-3-2023-Bundesliga,,3a3dcb35,,,,,,Home
26,3,Sun,2023-09-03,17:30,Union Berlin,0.3,0–3,1.2,RB Leipzig,,Stadion An der Alten Försterei,Daniel Schlager,/en/matches/7df62594/Union-Berlin-RB-Leipzig-September-3-2023-Bundesliga,,7df62594,,,,,,Home
27,4,Fri,2023-09-15,20:30,Bayern Munich,2.1,2–2,2.1,Leverkusen,75000,Allianz Arena,Daniel Schlager,/en/matches/d6d922d0/Bayern-Munich-Bayer-Leverkusen-September-15-2023-Bundesliga,,d6d922d0,,,,,,Home
28,4,Sat,2023-09-16,18:30,Bochum,2.0,1–1,0.6,Eint Frankfurt,,Vonovia Ruhrstadion,Benjamin Brand,/en/matches/fffdfc41/Bochum-Eintracht-Frankfurt-September-16-2023-Bundesliga,,fffdfc41,,,,,,Home
29,4,Sat,2023-09-16,15:30,Freiburg,1.0,2–4,2.3,Dortmund,34700,Europa-Park Stadion,Tobias Stieler,/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga,,363f8d87,,,,,,Home
