,Date,HomeTeam,AwayTeam,O2.5,U2.5,HomeTeamWinOdds,AwayTeamWinOdds,DrawOdds
0,2023-10-20,CA Osasuna,Granada CF,1.85,1.85,1.73,4.5,3.8
1,2023-10-21,Real Sociedad,Mallorca,2.3,1.57,1.53,7.0,3.75
2,2023-10-21,Getafe,Real Betis,2.3,1.57,2.45,3.0,3.1
3,2023-10-21,Sevilla,Real Madrid,1.67,2.1,3.9,1.85,3.8
4,2023-10-21,Celta Vigo,Atlético Madrid,1.91,1.8,3.4,2.1,3.5
5,2023-10-22,Las Palmas,Rayo Vallecano,2.2,1.62,2.62,2.7,3.2
6,2023-10-22,Girona,Almería,1.5,2.5,1.44,6.0,4.75
7,2023-10-22,Villarreal,Alavés,1.85,1.85,1.65,5.0,3.9
8,2023-10-22,Barcelona,Athletic Bilbao,1.67,2.1,1.62,5.0,4.0
9,2023-10-23,Valencia,Cádiz CF,2.1,1.67,1.73,5.0,3.6
10,2023-10-27,Girona,Celta Vigo,1.85,1.85,1.91,3.7,3.75
11,2023-10-28,Almería,Las Palmas,1.91,1.8,2.25,3.1,3.4
12,2023-10-28,Barcelona,Real Madrid,1.57,2.3,2.2,2.9,3.8
13,2023-10-28,Mallorca,Getafe,2.75,1.4,2.2,3.7,3.0
14,2023-10-28,Cádiz CF,Sevilla,2.2,1.62,2.9,2.4,3.3
15,2023-10-29,Real Betis,CA Osasuna,2.3,1.57,2.0,3.75,3.4
16,2023-10-29,Rayo Vallecano,Real Sociedad,2.38,1.53,3.0,2.45,3.2
17,2023-10-29,Athletic Bilbao,Valencia,2.2,1.62,1.73,4.8,3.6
18,2023-10-29,Atlético Madrid,Alavés,1.8,1.91,1.3,10.0,5.0
19,2023-10-30,Granada CF,Villarreal,1.7,2.05,3.1,2.15,3.7
