,GameID,Date,Team,Opponent,TeamGoals,OpponentGoals,Result,TeamShots,OpponentShots,TeamShotsonTarget,OpponentShotsonTarget,TeamFouls,OpponentFouls,TeamCorners,OpponentCorners,TeamYellowCards,OpponentYellowCards,TeamRedCards,OpponentRedCards,O2.5,U2.5,TeamWinOdds,DrawOdds,OpponentWinOdds,Venue,TeamELO,OpponentELO,ELODif
0,0,2002-08-31,Santander,Valladolid,0.0,1.0,L,,,,,,,,,,,,,,,1.909,3.25,3.4,Home,1698.56750488,1724.80126953,-26.23376465000001
1,0,2002-08-31,Valladolid,Santander,1.0,0.0,W,,,,,,,,,,,,,,,3.4,3.25,1.909,Away,1724.80126953,1698.56750488,26.23376465000001
2,1,2002-09-01,Osasuna,Villarreal,2.0,2.0,D,,,,,,,,,,,,,,,4.333,3.2,1.727,Away,1697.203125,1721.1895752,-23.98645020000004
3,1,2002-09-01,Villarreal,Osasuna,2.0,2.0,D,,,,,,,,,,,,,,,1.727,3.2,4.333,Home,1721.1895752,1697.203125,23.98645020000004
4,2,2002-09-01,Rayo Vallecano,Alaves,2.0,2.0,D,,,,,,,,,,,,,,,2.2,3.0,3.0,Home,1760.35302734,1745.09619141,15.256835929999852
5,2,2002-09-01,Alaves,Rayo Vallecano,2.0,2.0,D,,,,,,,,,,,,,,,3.0,3.0,2.2,Away,1745.09619141,1760.35302734,-15.256835929999852
6,3,2002-09-01,Sociedad,Bilbao,4.0,2.0,W,,,,,,,,,,,,,,,2.2,3.0,3.0,Home,1763.93737793,1712.93725586,51.00012206999986
7,3,2002-09-01,Bilbao,Sociedad,2.0,4.0,L,,,,,,,,,,,,,,,3.0,3.0,2.2,Away,1712.93725586,1763.93737793,-51.00012206999986
8,4,2002-09-01,Atletico,Barcelona,2.0,2.0,D,,,,,,,,,,,,,,,6.0,3.4,1.5,Away,1682.23498535,1865.62756348,-183.39257812999995
9,4,2002-09-01,Barcelona,Atletico,2.0,2.0,D,,,,,,,,,,,,,,,1.5,3.4,6.0,Home,1865.62756348,1682.23498535,183.39257812999995
10,5,2002-09-01,Malaga,Recreativo,3.0,2.0,W,,,,,,,,,,,,,,,2.5,3.1,2.5,Away,1785.17102051,1641.39123535,143.77978516000007
11,5,2002-09-01,Recreativo,Malaga,2.0,3.0,L,,,,,,,,,,,,,,,2.5,3.1,2.5,Home,1641.39123535,1785.17102051,-143.77978516000007
12,7,2002-09-01,Celta,Sevilla,1.0,0.0,W,,,,,,,,,,,,,,,2.625,3.1,2.375,Away,1813.44250488,1762.3302002,51.11230467999985
13,7,2002-09-01,Sevilla,Celta,0.0,1.0,L,,,,,,,,,,,,,,,2.375,3.1,2.625,Home,1762.3302002,1813.44250488,-51.11230467999985
14,8,2002-09-01,Valencia,Mallorca,2.0,0.0,W,,,,,,,,,,,,,,,2.25,3.0,2.875,Away,1904.24572754,1740.56567383,163.68005371000004
15,8,2002-09-01,Mallorca,Valencia,0.0,2.0,L,,,,,,,,,,,,,,,2.875,3.0,2.25,Home,1740.56567383,1904.24572754,-163.68005371000004
