,league,team,overall,attack,midfield,defence,transfer_budget,players,fifa_edition,update
0,ESP-La Liga,Real Madrid,85,85,85,83,€0,33,FIFA 07,"Aug 30, 2006"
1,ESP-La Liga,FC Barcelona,84,84,84,83,€0,32,FIFA 07,"Aug 30, 2006"
2,ESP-La Liga,Atlético Madrid,83,85,82,81,€0,33,FIFA 07,"Aug 30, 2006"
3,ESP-La Liga,Sevilla,80,80,79,82,€0,33,FIFA 07,"Aug 30, 2006"
4,ESP-La Liga,Athletic Club,79,77,79,77,€0,27,FIFA 07,"Aug 30, 2006"
5,ESP-La Liga,Real Betis,79,83,79,77,€0,31,FIFA 07,"Aug 30, 2006"
6,ESP-La Liga,Real Sociedad,79,79,81,79,€0,33,FIFA 07,"Aug 30, 2006"
7,ESP-La Liga,Villarreal,79,79,80,77,€0,25,FIFA 07,"Aug 30, 2006"
8,ESP-La Liga,Osasuna,77,77,77,77,€0,32,FIFA 07,"Aug 30, 2006"
9,ESP-La Liga,Getafe,76,82,76,75,€0,27,FIFA 07,"Aug 30, 2006"
10,ESP-La Liga,Celta de Vigo,76,79,76,75,€0,33,FIFA 07,"Aug 30, 2006"
11,ESP-La Liga,Mallorca,76,77,78,74,€0,25,FIFA 07,"Aug 30, 2006"
12,ESP-La Liga,Rayo Vallecano,76,76,77,77,€0,27,FIFA 07,"Aug 30, 2006"
13,ESP-La Liga,Girona,76,77,76,76,€0,33,FIFA 07,"Aug 30, 2006"
14,ESP-La Liga,Almería,75,76,74,74,€0,29,FIFA 07,"Aug 30, 2006"
15,ESP-La Liga,Cádiz,75,74,75,73,€0,32,FIFA 07,"Aug 30, 2006"
16,ESP-La Liga,Valencia,75,74,74,76,€0,30,FIFA 07,"Aug 30, 2006"
17,ESP-La Liga,Las Palmas,74,75,75,72,€0,27,FIFA 07,"Aug 30, 2006"
18,ESP-La Liga,Granada,73,76,72,72,€0,29,FIFA 07,"Aug 30, 2006"
19,ESP-La Liga,Deportivo Alavés,72,73,73,73,€0,28,FIFA 07,"Aug 30, 2006"
20,ESP-La Liga,Real Madrid,85,85,85,83,€0,33,FIFA 07,"Feb 22, 2007"
21,ESP-La Liga,FC Barcelona,84,84,84,83,€0,32,FIFA 07,"Feb 22, 2007"
