,id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l
0,5831,True,a,2014-08-24 20:00:00,l,148,Barcelona,BAR,207,Elche,ELC,3,0,1.54124,0.10804,0.750682373131572,0.22554769599278063,0.023769930756548156
1,5785,True,h,2014-08-31 22:00:00,d,207,Elche,ELC,155,Granada,GRA,1,1,1.35652,0.762738,0.5090433307015034,0.28049957197279807,0.21045709730484555
2,5791,True,a,2014-09-14 11:00:00,w,145,Rayo Vallecano,RVL,207,Elche,ELC,2,3,1.42044,0.570631,0.5793207166126184,0.2717818920231513,0.14889739132504756
3,5796,True,h,2014-09-19 20:00:00,l,207,Elche,ELC,156,Eibar,EIB,0,2,1.03354,0.903058,0.3777791109670625,0.3136333041868737,0.30858758484551624
4,5806,True,a,2014-09-23 19:00:00,l,150,Real Madrid,RMA,207,Elche,ELC,5,1,3.93785,1.07447,0.861622259634499,0.0830158892690635,0.055345163924188666
5,5816,True,h,2014-09-26 20:00:00,l,207,Elche,ELC,152,Celta Vigo,CEL,0,1,0.402099,2.04008,0.0618500148416878,0.1743500650550573,0.7637999150807239
6,5758,True,a,2014-10-04 21:00:00,d,208,Almeria,ALM,207,Elche,ELC,2,2,2.34067,0.511144,0.785506473488621,0.15044480246088934,0.06404869419438222
7,5771,True,h,2014-10-19 18:00:00,l,207,Elche,ELC,138,Sevilla,SEV,0,2,0.47658,2.52963,0.050546249170184084,0.12970599832594734,0.8197476722197415
8,5777,True,a,2014-10-25 19:00:00,l,146,Valencia,VAL,207,Elche,ELC,3,1,1.18501,0.498984,0.5313667560665697,0.31272718864255317,0.15590605528765628
9,5723,True,h,2014-11-02 20:00:00,w,207,Elche,ELC,141,Espanyol,ESP,2,1,2.35234,2.01995,0.4637753257994723,0.1950625824258862,0.3411620555425772
10,5727,True,a,2014-11-08 17:00:00,d,142,Getafe,GET,207,Elche,ELC,0,0,0.701376,0.891117,0.2697831026190677,0.351856031717318,0.3783608656635535
11,5742,True,h,2014-11-23 18:00:00,d,207,Elche,ELC,206,Cordoba,COR,2,2,2.11064,0.941968,0.6422842505059253,0.19952542174645968,0.1581903199142359
12,5745,True,a,2014-11-28 19:45:00,l,140,Real Sociedad,SOC,207,Elche,ELC,3,0,1.32833,0.749825,0.5044828886654437,0.28452233317770464,0.21099477814122822
13,5687,True,h,2014-12-06 15:00:00,l,207,Elche,ELC,143,Atletico Madrid,ATL,0,2,0.424663,0.279031,0.2764534016140727,0.5551395175253457,0.16840708086058132
14,5706,True,a,2014-12-15 19:45:00,l,139,Deportivo La Coruna,DEP,207,Elche,ELC,1,0,0.761893,0.909314,0.28723587874957246,0.34265532920542113,0.3701087920449215
15,5714,True,h,2014-12-21 18:00:00,l,207,Elche,ELC,137,Malaga,MAL,1,2,0.508293,1.43511,0.1304671505457848,0.2683535474844869,0.601179301924638
16,5644,True,h,2015-01-03 19:00:00,d,207,Elche,ELC,154,Villarreal,VIL,2,2,1.51945,2.90415,0.17840336054679382,0.16136957657034612,0.6602266126687962
17,5658,True,a,2015-01-11 16:00:00,w,147,Athletic Club,ATH,207,Elche,ELC,1,2,1.29276,1.18469,0.3903422000270903,0.271001193158126,0.33865660680082993
18,5670,True,h,2015-01-18 20:00:00,w,207,Elche,ELC,151,Levante,LEV,1,0,1.91784,1.0119,0.5851381084379359,0.21961891805679662,0.19524297127765639
19,5673,True,h,2015-01-24 17:00:00,l,207,Elche,ELC,148,Barcelona,BAR,0,6,0.347795,3.51478,0.014874680624153706,0.05570378005278432,0.9294170585238236
20,5685,True,a,2015-01-31 19:00:00,l,155,Granada,GRA,207,Elche,ELC,1,0,1.51392,0.214841,0.7103174913044036,0.2401054568272193,0.04957705177495398
21,5617,True,h,2015-02-09 19:45:00,w,207,Elche,ELC,145,Rayo Vallecano,RVL,2,0,2.96514,0.406262,0.8810841966598133,0.08996768904008977,0.028947533273487796
