,GameID,Date,Team,Opponent,TeamGoals,OpponentGoals,Result,TeamShots,OpponentShots,TeamShotsonTarget,OpponentShotsonTarget,TeamFouls,OpponentFouls,TeamCorners,OpponentCorners,TeamYellowCards,OpponentYellowCards,TeamRedCards,OpponentRedCards,O2.5,U2.5,TeamWinOdds,DrawOdds,OpponentWinOdds,Venue,TeamELO,OpponentELO,ELODif
0,0,2000-08-19,Liverpool,Bradford,1,0,W,16,3,10,2,8,8,6,1,1,1,0,0,,,,,,Home,1770.14904785,1578.7220459,191.42700194999998
1,0,2000-08-19,Bradford,Liverpool,0,1,L,3,16,2,10,8,8,1,6,1,1,0,0,,,,,,Away,1578.7220459,1770.14904785,-191.42700194999998
2,1,2000-08-19,Tottenham,Ipswich,3,1,W,20,15,6,5,14,13,3,4,0,0,0,0,,,,,,Home,1676.79772949,1638.08422852,38.71350097000004
3,1,2000-08-19,Ipswich,Tottenham,1,3,L,15,20,5,6,13,14,4,3,0,0,0,0,,,,,,Away,1638.08422852,1676.79772949,-38.71350097000004
4,2,2000-08-19,Sunderland,Arsenal,1,0,W,8,14,2,7,10,21,2,9,3,1,0,1,,,,,,Home,1712.12634277,1871.71044922,-159.58410645000004
5,2,2000-08-19,Arsenal,Sunderland,0,1,L,14,8,7,2,21,10,9,2,1,3,1,0,,,,,,Away,1871.71044922,1712.12634277,159.58410645000004
6,3,2000-08-19,Leicester,Aston Villa,0,0,D,5,5,4,3,12,12,5,4,2,3,0,0,,,,,,Home,1687.89453125,1728.20263672,-40.3081054700001
7,3,2000-08-19,Aston Villa,Leicester,0,0,D,5,5,3,4,12,12,4,5,3,2,0,0,,,,,,Away,1728.20263672,1687.89453125,40.3081054700001
8,4,2000-08-19,Everton,Leeds,0,2,L,12,17,6,8,20,21,4,6,3,1,0,0,,,,,,Away,1685.55212402,1782.55310059,-97.00097656999992
9,4,2000-08-19,Leeds,Everton,2,0,W,17,12,8,6,21,20,6,4,1,3,0,0,,,,,,Home,1782.55310059,1685.55212402,97.00097656999992
10,5,2000-08-19,Derby,Southampton,2,2,D,6,13,4,6,11,13,5,8,1,1,0,0,,,,,,Home,1636.08203125,1630.02050781,6.061523439999974
