,GameID,Date,Team,Opponent,TotalGoals,TeamGoals,OpponentGoals,Result,Referee,TeamShots,OpponentShots,TeamShotsonTarget,OpponentShotsonTarget,TeamFouls,OpponentFouls,TeamCorners,OpponentCorners,TeamYellowCards,OpponentYellowCards,TeamRedCards,OpponentRedCards,O2.5,U2.5,TeamWinOdds,DrawOdds,OpponentWinOdds,Venue
0,0,2000-08-19,Charlton,Man City,4,4,0,W,Rob Harris,17,8,14,4,13,12,6,6,1,2,0,0,,,,,,Home
1,0,2000-08-19,Man City,Charlton,4,0,4,L,Rob Harris,8,17,4,14,12,13,6,6,2,1,0,0,,,,,,Away
2,1,2000-08-19,Chelsea,West Ham,6,4,2,W,Graham Barber,17,12,10,5,19,14,7,7,1,2,0,0,,,,,,Home
3,1,2000-08-19,West Ham,Chelsea,6,2,4,L,Graham Barber,12,17,5,10,14,19,7,7,2,1,0,0,,,,,,Away
4,2,2000-08-19,Coventry,Middlesbrough,4,1,3,L,Barry Knight,6,16,3,9,15,21,8,4,5,3,1,0,,,,,,Home
5,2,2000-08-19,Middlesbrough,Coventry,4,3,1,W,Barry Knight,16,6,9,3,21,15,4,8,3,5,0,1,,,,,,Away
6,3,2000-08-19,Southampton,Derby,4,2,2,D,Andy D'Urso,13,6,6,4,13,11,8,5,1,1,0,0,,,,,,Away
7,3,2000-08-19,Derby,Southampton,4,2,2,D,Andy D'Urso,6,13,4,6,11,13,5,8,1,1,0,0,,,,,,Home
8,4,2000-08-19,Leeds,Everton,2,2,0,W,Dermot Gallagher,17,12,8,6,21,20,6,4,1,3,0,0,,,,,,Home
9,4,2000-08-19,Everton,Leeds,2,0,2,L,Dermot Gallagher,12,17,6,8,20,21,4,6,3,1,0,0,,,,,,Away
10,5,2000-08-19,Leicester,Aston Villa,0,0,0,D,Mike Riley,5,5,4,3,12,12,5,4,2,3,0,0,,,,,,Home
11,5,2000-08-19,Aston Villa,Leicester,0,0,0,D,Mike Riley,5,5,3,4,12,12,4,5,3,2,0,0,,,,,,Away
12,6,2000-08-19,Bradford,Liverpool,1,0,1,L,Paul Durkin,3,16,2,10,8,8,1,6,1,1,0,0,,,,,,Away
13,6,2000-08-19,Liverpool,Bradford,1,1,0,W,Paul Durkin,16,3,10,2,8,8,6,1,1,1,0,0,,,,,,Home
14,7,2000-08-19,Arsenal,Sunderland,1,0,1,L,Steve Dunn,14,8,7,2,21,10,9,2,1,3,1,0,,,,,,Away
15,7,2000-08-19,Sunderland,Arsenal,1,1,0,W,Steve Dunn,8,14,2,7,10,21,2,9,3,1,0,1,,,,,,Home
16,8,2000-08-19,Ipswich,Tottenham,4,1,3,L,Alan Wiley,15,20,5,6,13,14,4,3,0,0,0,0,,,,,,Away
17,8,2000-08-19,Tottenham,Ipswich,4,3,1,W,Alan Wiley,20,15,6,5,14,13,3,4,0,0,0,0,,,,,,Home
18,9,2000-08-20,Newcastle,Man United,2,0,2,L,Steve Lodge,9,19,6,9,13,7,1,7,1,0,0,0,,,,,,Away
19,9,2000-08-20,Man United,Newcastle,2,2,0,W,Steve Lodge,19,9,9,6,7,13,7,1,0,1,0,0,,,,,,Home
20,10,2000-08-21,Liverpool,Arsenal,2,0,2,L,Graham Poll,7,17,4,12,20,25,11,10,4,2,2,1,,,,,,Away
21,10,2000-08-21,Arsenal,Liverpool,2,2,0,W,Graham Poll,17,7,12,4,25,20,10,11,2,4,1,2,,,,,,Home
22,11,2000-08-22,Ipswich,Man United,2,1,1,D,Jeff Winter,13,15,8,6,10,7,4,6,1,4,0,0,,,,,,Home
23,11,2000-08-22,Man United,Ipswich,2,1,1,D,Jeff Winter,15,13,6,8,7,10,6,4,4,1,0,0,,,,,,Away
24,12,2000-08-22,Chelsea,Bradford,2,0,2,L,Mark Halsey,14,12,6,3,16,14,4,6,1,0,0,0,,,,,,Away
25,12,2000-08-22,Bradford,Chelsea,2,2,0,W,Mark Halsey,12,14,3,6,14,16,6,4,0,1,0,0,,,,,,Home
26,13,2000-08-22,Middlesbrough,Tottenham,2,1,1,D,Peter Jones,12,11,6,4,9,18,5,5,2,1,0,0,,,,,,Home
27,13,2000-08-22,Tottenham,Middlesbrough,2,1,1,D,Peter Jones,11,12,4,6,18,9,5,5,1,2,0,0,,,,,,Away
28,14,2000-08-23,Leicester,West Ham,1,1,0,W,Rob Styles,4,17,2,12,14,16,5,11,3,3,0,1,,,,,,Away
