,GameID,Date,Team,Opponent,TeamGoals,OpponentGoals,Result,TeamShots,OpponentShots,TeamShotsonTarget,OpponentShotsonTarget,TeamFouls,OpponentFouls,TeamCorners,OpponentCorners,TeamYellowCards,OpponentYellowCards,TeamRedCards,OpponentRedCards,O2.5,U2.5,TeamWinOdds,DrawOdds,OpponentWinOdds,Venue,TeamELO,OpponentELO,ELODif
0,0,2003-08-30,Reggina,Sampdoria,2.0,2.0,D,,,,,,,,,,,,,1.83,1.83,2.25,3.0,3.1,Home,1662.2064209,1598.15637207,64.05004882999992
1,0,2003-08-30,Sampdoria,Reggina,2.0,2.0,D,,,,,,,,,,,,,1.83,1.83,3.1,3.0,2.25,Away,1598.15637207,1662.2064209,-64.05004882999992
2,1,2003-08-31,Bologna,Parma,2.0,2.0,D,,,,,,,,,,,,,1.9,1.8,2.3,3.0,3.0,Home,1655.84936523,1766.44152832,-110.59216308999999
3,1,2003-08-31,Parma,Bologna,2.0,2.0,D,,,,,,,,,,,,,1.9,1.8,3.0,3.0,2.3,Away,1766.44152832,1655.84936523,110.59216308999999
4,2,2003-08-31,Brescia,Chievo,1.0,1.0,D,,,,,,,,,,,,,2.0,1.72,2.375,3.0,2.875,Home,1698.54309082,1718.01989746,-19.47680663999995
5,2,2003-08-31,Chievo,Brescia,1.0,1.0,D,,,,,,,,,,,,,2.0,1.72,2.875,3.0,2.375,Away,1718.01989746,1698.54309082,19.47680663999995
6,3,2003-08-31,Inter,Modena,2.0,0.0,W,,,,,,,,,,,,,1.8,1.9,1.25,5.0,10.0,Home,1830.78466797,1615.56799316,215.2166748100001
7,3,2003-08-31,Modena,Inter,0.0,2.0,L,,,,,,,,,,,,,1.8,1.9,10.0,5.0,1.25,Away,1615.56799316,1830.78466797,-215.2166748100001
8,4,2003-08-31,Juventus,Empoli,5.0,1.0,W,,,,,,,,,,,,,1.72,2.0,1.222,5.0,13.0,Home,1895.21813965,1626.70056152,268.51757812999995
9,4,2003-08-31,Empoli,Juventus,1.0,5.0,L,,,,,,,,,,,,,1.72,2.0,13.0,5.0,1.222,Away,1626.70056152,1895.21813965,-268.51757812999995
10,5,2003-08-31,Lazio,Lecce,4.0,1.0,W,,,,,,,,,,,,,1.8,1.9,1.333,4.0,10.0,Home,1828.28771973,1599.79650879,228.49121093999997
11,5,2003-08-31,Lecce,Lazio,1.0,4.0,L,,,,,,,,,,,,,1.8,1.9,10.0,4.0,1.333,Away,1599.79650879,1828.28771973,-228.49121093999997
12,6,2003-08-31,Perugia,Siena,2.0,2.0,D,,,,,,,,,,,,,1.9,1.8,1.667,3.2,5.5,Home,1670.48083496,1602.18945312,68.29138183999999
13,6,2003-08-31,Siena,Perugia,2.0,2.0,D,,,,,,,,,,,,,1.9,1.8,5.5,3.2,1.667,Away,1602.18945312,1670.48083496,-68.29138183999999
14,7,2003-08-31,Roma,Udinese,2.0,1.0,W,,,,,,,,,,,,,1.9,1.8,2.5,3.2,2.6,Away,1790.21008301,1717.19836426,73.01171875
15,7,2003-08-31,Udinese,Roma,1.0,2.0,L,,,,,,,,,,,,,1.9,1.8,2.6,3.2,2.5,Home,1717.19836426,1790.21008301,-73.01171875
16,8,2003-09-01,Milan,Ancona,2.0,0.0,W,,,,,,,,,,,,,1.83,1.83,1.727,3.1,5.0,Away,1819.90393066,1551.63598633,268.2679443300001
17,8,2003-09-01,Ancona,Milan,0.0,2.0,L,,,,,,,,,,,,,1.83,1.83,5.0,3.1,1.727,Home,1551.63598633,1819.90393066,-268.2679443300001
18,9,2003-09-13,Bologna,Milan,1.0,2.0,L,,,,,,,,,,,,,1.8,1.9,8.5,4.33,1.33,Away,1656.21923828,1825.51416016,-169.29492188000017
19,9,2003-09-13,Milan,Bologna,2.0,1.0,W,,,,,,,,,,,,,1.8,1.9,1.33,4.33,8.5,Home,1825.51416016,1656.21923828,169.29492188000017
20,10,2003-09-13,Lazio,Sampdoria,2.0,1.0,W,,,,,,,,,,,,,2.0,1.72,2.25,3.0,3.1,Away,1831.50244141,1602.51086426,228.99157715
21,10,2003-09-13,Sampdoria,Lazio,1.0,2.0,L,,,,,,,,,,,,,2.0,1.72,3.1,3.0,2.25,Home,1602.51086426,1831.50244141,-228.99157715
22,11,2003-09-14,Parma,Perugia,3.0,0.0,W,,,,,,,,,,,,,1.8,1.9,1.66,3.4,5.0,Home,1766.07165527,1666.03552246,100.03613281000003
23,11,2003-09-14,Perugia,Parma,0.0,3.0,L,,,,,,,,,,,,,1.8,1.9,5.0,3.4,1.66,Away,1666.03552246,1766.07165527,-100.03613281000003
24,12,2003-09-14,Lecce,Ancona,3.0,1.0,W,,,,,,,,,,,,,2.0,1.72,1.8,3.2,4.33,Home,1596.58178711,1546.02587891,50.555908199999976
