,league,team,overall,attack,midfield,defence,transfer_budget,players,fifa_edition,update
0,ITA-Serie A,Inter,82,82,82,82,€0,25,FIFA 07,"Aug 30, 2006"
1,ITA-Serie A,Napoli,81,82,82,80,€0,27,FIFA 07,"Aug 30, 2006"
2,ITA-Serie A,Juventus,80,81,80,79,€0,25,FIFA 07,"Aug 30, 2006"
3,ITA-Serie A,Lazio,80,81,79,80,€0,27,FIFA 07,"Aug 30, 2006"
4,ITA-Serie A,Milan,80,82,79,81,€0,28,FIFA 07,"Aug 30, 2006"
5,ITA-Serie A,Roma,80,81,79,81,€0,30,FIFA 07,"Aug 30, 2006"
6,ITA-Serie A,Fiorentina,78,78,77,78,€0,27,FIFA 07,"Aug 30, 2006"
7,ITA-Serie A,Atalanta,78,79,77,77,€0,25,FIFA 07,"Aug 30, 2006"
8,ITA-Serie A,Torino,75,78,74,75,€0,27,FIFA 07,"Aug 30, 2006"
9,ITA-Serie A,Sassuolo,75,77,74,72,€0,27,FIFA 07,"Aug 30, 2006"
10,ITA-Serie A,Monza,75,74,76,75,€0,30,FIFA 07,"Aug 30, 2006"
11,ITA-Serie A,Udinese,74,74,73,74,€0,33,FIFA 07,"Aug 30, 2006"
12,ITA-Serie A,Bologna,74,73,76,73,€0,27,FIFA 07,"Aug 30, 2006"
13,ITA-Serie A,Hellas Verona,74,72,74,74,€0,31,FIFA 07,"Aug 30, 2006"
14,ITA-Serie A,Salernitana,73,76,72,71,€0,26,FIFA 07,"Aug 30, 2006"
15,ITA-Serie A,Empoli,73,74,73,72,€0,31,FIFA 07,"Aug 30, 2006"
16,ITA-Serie A,Genoa,73,76,73,71,€0,27,FIFA 07,"Aug 30, 2006"
17,ITA-Serie A,Cagliari,72,72,72,71,€0,30,FIFA 07,"Aug 30, 2006"
18,ITA-Serie A,Lecce,72,73,71,72,€0,32,FIFA 07,"Aug 30, 2006"
19,ITA-Serie A,Frosinone,70,70,68,69,€0,30,FIFA 07,"Aug 30, 2006"
20,ITA-Serie A,Inter,82,82,82,82,€0,25,FIFA 07,"Feb 22, 2007"
21,ITA-Serie A,Napoli,81,82,82,80,€0,27,FIFA 07,"Feb 22, 2007"
22,ITA-Serie A,Juventus,80,81,80,79,€0,25,FIFA 07,"Feb 22, 2007"
23,ITA-Serie A,Lazio,80,81,79,80,€0,27,FIFA 07,"Feb 22, 2007"
24,ITA-Serie A,Milan,80,82,79,81,€0,28,FIFA 07,"Feb 22, 2007"
25,ITA-Serie A,Roma,80,81,79,81,€0,30,FIFA 07,"Feb 22, 2007"
26,ITA-Serie A,Fiorentina,78,78,77,78,€0,27,FIFA 07,"Feb 22, 2007"
27,ITA-Serie A,Atalanta,78,79,77,77,€0,25,FIFA 07,"Feb 22, 2007"
28,ITA-Serie A,Torino,75,78,74,75,€0,27,FIFA 07,"Feb 22, 2007"
29,ITA-Serie A,Sassuolo,75,77,74,72,€0,27,FIFA 07,"Feb 22, 2007"
30,ITA-Serie A,Monza,75,74,76,75,€0,30,FIFA 07,"Feb 22, 2007"
