,week,day,Date,time,HomeTeam,home_xg,score,away_xg,AwayTeam,attendance,venue,Referee,match_report,notes,game_id,BbAv>2.5,BbAv<2.5,BbAvH,BbAvD,BbAvA
0,1,Sat,2023-08-19,18:30,Empoli,0.7,0–1,0.5,Hellas Verona,,Stadio Carlo Castellani,Luca Massimi,/en/matches/b787871d/Empoli-Hellas-Verona-August-19-2023-Serie-A,,b787871d,,,,,
1,1,Sat,2023-08-19,18:30,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,/en/matches/305afcf5/Frosinone-Napoli-August-19-2023-Serie-A,,305afcf5,,,,,
2,1,Sat,2023-08-19,20:45,Genoa,0.2,1–4,1.0,Fiorentina,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,/en/matches/8260e428/Genoa-Fiorentina-August-19-2023-Serie-A,,8260e428,,,,,
3,1,Sat,2023-08-19,20:45,Inter,2.7,2–0,0.8,Monza,,Stadio Giuseppe Meazza,Andrea Colombo,/en/matches/254420f7/Internazionale-Monza-August-19-2023-Serie-A,,254420f7,,,,,
4,1,Sun,2023-08-20,20:45,Lecce,1.4,2–1,1.6,Lazio,,Stadio Comunale Via Del Mare,Federico Dionisi,/en/matches/3e38d727/Lecce-Lazio-August-20-2023-Serie-A,,3e38d727,,,,,
5,1,Sun,2023-08-20,18:30,Roma,1.9,2–2,0.1,Salernitana,,Stadio Olimpico,Ermanno Feliciani,/en/matches/9191f715/Roma-Salernitana-August-20-2023-Serie-A,,9191f715,,,,,
6,1,Sun,2023-08-20,18:30,Sassuolo,0.4,0–2,1.3,Atalanta,,Mapei Stadium - Città del Tricolore,Matteo Marchetti,/en/matches/32dc37db/Sassuolo-Atalanta-August-20-2023-Serie-A,,32dc37db,,,,,
7,1,Sun,2023-08-20,20:45,Udinese,1.0,0–3,1.8,Juventus,,Dacia Arena,Antonio Rapuano,/en/matches/8b6e8a62/Udinese-Juventus-August-20-2023-Serie-A,,8b6e8a62,,,,,
8,1,Mon,2023-08-21,20:45,Bologna,1.0,0–2,0.9,Milan,,Stadio Renato Dall'Ara,Luca Pairetto,/en/matches/93dccf6e/Bologna-Milan-August-21-2023-Serie-A,,93dccf6e,,,,,
9,1,Mon,2023-08-21,18:30,Torino,1.0,0–0,0.4,Cagliari,,Stadio Olimpico di Torino,Francesco Cosso,/en/matches/fdc03e7f/Torino-Cagliari-August-21-2023-Serie-A,,fdc03e7f,,,,,
10,2,Sat,2023-08-26,18:30,Frosinone,0.7,2–1,1.6,Atalanta,,Stadio Benito Stirpe,Juan Sacchi,/en/matches/0b355cdd/Frosinone-Atalanta-August-26-2023-Serie-A,,0b355cdd,,,,,
